Name,Weight Division,Age Division,Belt Level,Gender,Placement,Gi or No Gi,School,Tournament
Tom Edward Hammonds III ,Ultra-Heavy,Master 5,Brown,M,1st,Gi,De La Riva Jiu-Jitsu USA ,IBJJF Worlds
Scott Roffers ,Medium-Heavy,Master 5,Brown,M,2nd,Gi,Brasa CTA ,IBJJF Worlds
Gerardo Ortiz ,Super-Heavy,Master 5,Brown,M,3rd,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Larry An ,Feather,Master 5,Brown,M,3rd,Gi,Jiu-Jitsu For Life Team ,IBJJF Worlds
Luiz Eduardo Rocha de Faria ,Heavy,Master 5,Black,M,1st,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Peter C. Iacavazzi ,Medium-Heavy,Master 5,Black,M,2nd,Gi,Atos Jiu-Jitsu ,IBJJF Worlds
Jose Mario Sperry ,Ultra-Heavy,Master 5,Black,M,3rd,Gi,Mario Sperry Jiu-Jitsu ,IBJJF Worlds
Souleymane Dicko ,Middle,Master 5,Black,M,3rd,Gi,Mako Team Paris ,IBJJF Worlds
Diane Maier ,Feather,Master 5,Blue,F,1st,Gi,Roberto Traven BJJ ,IBJJF Worlds
Kris Pilgrim ,Middle,Master 5,Blue,F,2nd,Gi,Fabio Santos BJJ ,IBJJF Worlds
Gillian Boyd ,Super-Heavy,Master 5,Blue,F,3rd,Gi,Carlson Gracie Team,IBJJF Worlds
Gracijane Pereira Leite ,Heavy,Master 5,Purple,F,1st,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Natalie Hallemans ,Medium,Master 5,Purple,F,2nd,Gi,Atos Jiu-Jitsu ,IBJJF Worlds
Anjani Siddhartha ,Medium-Heavy,Master 5,Purple,F,3rd,Gi,Phenom Brazilian Jiu-Jitsu ,IBJJF Worlds
Yvonne Morken ,Heavy,Master 5,Purple,F,3rd,Gi,Undisputed Tucson ,IBJJF Worlds
Jeane Anne Saari-Ruiz ,Middle,Master 5,Brown,F,1st,Gi,GF Team,IBJJF Worlds
Sirley Almeida Adelino Baiao ,Medium-Heavy,Master 5,Brown,F,2nd,Gi,GF Team,IBJJF Worlds
Cynthia A Fink ,Feather,Master 5,Brown,F,3rd,Gi,Alliance,IBJJF Worlds
Felicia Oh ,Light-Feather,Master 5,Black,F,1st,Gi,Jean Jacques Machado BJJ ,IBJJF Worlds
Frank David Torres ,Medium-Heavy,Master 6,Blue,M,1st,Gi,Gracie Barra,IBJJF Worlds
Ricardo Ferreira Ayres ,Middle,Master 6,Blue,M,2nd,Gi,Alliance,IBJJF Worlds
Denis Guillaume ,Ultra-Heavy,Master 6,Blue,M,3rd,Gi,KMR BJJ Kimura Europe ,IBJJF Worlds
Steven Curtis Shearon ,Light,Master 6,Blue,M,3rd,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Zbigniew Krzysztof Kania ,Middle,Master 6,Purple,M,1st,Gi,ZR Team Association ,IBJJF Worlds
Frederick Vincent Gilbert ,Middle,Master 6,Purple,M,2nd,Gi,Samuel Puccio BJJ ,IBJJF Worlds
Eric Manning ,Medium-Heavy,Master 6,Purple,M,3rd,Gi,Paragon BJJ Thousand Oaks ,IBJJF Worlds
John Charles Rose ,Ultra-Heavy,Master 6,Purple,M,3rd,Gi,Gracie Barra,IBJJF Worlds
Anthony Harris,Medium-Heavy,Master 6,Brown,M,1st,Gi,Team Lloyd Irvin ,IBJJF Worlds
James C Singeltary ,Ultra-Heavy,Master 6,Brown,M,2nd,Gi,Team Link,IBJJF Worlds
Glen Larsen ,Heavy,Master 6,Brown,M,3rd,Gi,Unified Jiu Jitsu ,IBJJF Worlds
Terry Slutsky ,Medium-Heavy,Master 6,Brown,M,3rd,Gi,Gracie Barra,IBJJF Worlds
John David Barrera ,Ultra-Heavy,Master 6,Black,M,1st,Gi,Presa Brazilian Jiu-Jitsu ,IBJJF Worlds
Joseph Thompson ,Medium-Heavy,Master 6,Black,M,2nd,Gi,Soca Brazilian Jiu-Jitsu ,IBJJF Worlds
Gustavo Guadalupe Enriquez ,Middle,Master 6,Black,M,3rd,Gi,Infinite Jiu Jitsu ,IBJJF Worlds
Kouichi Kamitanida ,Feather,Master 6,Black,M,3rd,Gi,Newaza World Sakurajima ,IBJJF Worlds
Lynn Dougherty ,Super-Heavy,Master 6,Purple,F,1st,Gi,Caio Terra Association ,IBJJF Worlds
Betty W. Broadhurst ,Super-Heavy,Master 6,Purple,F,2nd,Gi,Gustavo Machado BJJ ,IBJJF Worlds
Aristea Kinney ,Light,Master 6,Brown,F,1st,Gi,Nova Uniao ,IBJJF Worlds
Solange das Neves Russi de Lima ,Light,Master 6,Black,F,1st,Gi,Checkmat,IBJJF Worlds
Rocky Fails ,Super-Heavy,Master 7,Blue,M,1st,Gi,Easton BJJ,IBJJF Worlds
Gary Foster ,Middle,Master 7,Blue,M,2nd,Gi,Alliance,IBJJF Worlds
Daniel W. Hudson ,Heavy,Master 7,Blue,M,3rd,Gi,DDR Jiu Jitsu ,IBJJF Worlds
Tomislav Steve Peric ,Middle,Master 7,Blue,M,3rd,Gi,Daniel Tavares Academy ,IBJJF Worlds
Michael George Andrews ,Medium-Heavy,Master 7,Purple,M,1st,Gi,Alliance,IBJJF Worlds
Richard Allen,Super-Heavy,Master 7,Brown,M,1st,Gi,Coachella Valley BJJ ,IBJJF Worlds
Luiz Humberto de Queiroz Guerra ,Middle,Master 7,Black,M,1st,Gi,Gracie Barra,IBJJF Worlds
Igor Dominguez Andrade ,Feather,Master 7,Black,M,2nd,Gi,Gracie Barra,IBJJF Worlds
Jay Hunsucker ,Ultra-Heavy,Master 7,Black,M,3rd,Gi,The Jiu-Jitsu Academy ,IBJJF Worlds
John Parker Lapp ,Super-Heavy,Master 7,Black,M,3rd,Gi,Roberto Traven BJJ ,IBJJF Worlds
Sandi Duquette ,Light-Feather,Master 7,Black,F,1st,Gi,Yamasaki Academy ,IBJJF Worlds
